CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
ARAUCO;-250;650256;5591246;3.21;9.13;7;0;0;3;1;1;2;0;0;-73.2445000000000;-39.8155000000000
ARAUCO;-270;650232;5591250;6.68;8.97;6;1;3;0;0;1;0;0;1;-73.2447777777778;-39.8154722222222
ARAUCO;-290;650216;5591256;5.97;8.99;9;0;2;0;0;3;2;1;1;-73.2449722222222;-39.8154166666666
ARAUCO;-310;650194;5591260;3.54;8.96;1;0;1;0;0;0;0;0;0;-73.2452222222222;-39.8153888888888
ARAUCO;-330;650178;5591266;6.01;8.93;6;0;4;1;0;1;0;0;0;-73.2454166666667;-39.8153333333333
ARAUCO;-350;650159;5591273;6.01;8.98;2;1;1;0;0;0;0;0;0;-73.2456388888889;-39.8152777777777
ARAUCO;-380;650128;5591273;4.44;8.97;3;0;1;0;0;2;0;0;0;-73.2460000000000;-39.8152777777777
ARAUCO;-400;650111;5591280;6.02;8.95;4;0;2;0;0;1;0;0;1;-73.2461944444444;-39.8152222222222
ARAUCO;-420;650090;5591283;6.03;10.26;3;0;0;2;0;0;0;0;1;-73.2464444444445;-39.8151944444444
PICARTE;0;650618;5591304;3.85;13.55;0;0;0;0;0;0;0;0;0;-73.2402777777778;-39.8149166666666
PICARTE;-10;650604;5591307;3.82;13.02;1;0;1;0;0;0;0;0;0;-73.2404444444445;-39.8148888888889
PICARTE;-30;650583;5591307;8.77;12.94;11;0;7;0;0;4;0;0;0;-73.2406944444444;-39.8148888888889
PICARTE;-50;650562;5591314;7.34;12.93;15;0;7;0;0;6;2;0;0;-73.2409444444445;-39.8148333333333
PICARTE;-70;650543;5591314;6.29;12.88;12;0;6;1;0;4;1;0;0;-73.2411666666667;-39.8148333333333
PICARTE;-90;650524;5591321;4.7;12.56;3;0;2;0;1;0;0;0;0;-73.2413888888889;-39.8147777777778
PICARTE;-110;650500;5591321;6.33;13;4;1;3;0;0;0;0;0;0;-73.2416666666667;-39.8147777777778
PICARTE;-130;650483;5591325;6.52;13.07;0;0;0;0;0;0;0;0;0;-73.2418611111111;-39.8147500000000
PICARTE;-150;650467;5591328;3.2;11.46;8;1;3;2;1;1;0;0;0;-73.2420555555555;-39.8147222222222
PICARTE;-170;650448;5591338;4.96;13.14;2;0;0;0;0;0;1;1;0;-73.2422222222222;-39.8146388888889
PICARTE;-190;650429;5591338;3.71;13.21;4;0;4;0;0;0;0;0;0;-73.2425000000000;-39.8146388888889
PICARTE;-210;650408;5591348;7.13;13.35;10;0;6;0;0;2;0;1;1;-73.2427500000000;-39.8145555555555
PICARTE;-230;650386;5591354;8.15;13.04;10;0;6;2;1;1;0;0;0;-73.2430000000000;-39.8144999999995
PICARTE;-250;650367;5591352;7.94;13.1;24;0;9;2;0;8;2;3;0;-73.2430555555556;-39.8145277777776
PICARTE;-270;650348;5591352;2.31;13.08;3;0;0;2;0;0;0;1;0;-73.2434444444445;-39.8145277777776
PICARTE;-290;650325;5591359;2.61;12.51;0;0;0;0;0;0;0;0;0;-73.2437222222222;-39.8144722222222
