CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
CARAMPANGUE;-570;650164;5591640;3.11;9.43;6;2;0;2;0;1;1;0;0;-73.2456666666666;-39.8119722222222
ALEMANIA;0;650449;5591541;2.12;10.76;1;1;0;0;0;0;0;0;0;-73.2423055555556;-39.8128055555555
ALEMANIA;-10;650438;5591545;4.79;10.47;0;0;0;0;0;0;0;0;0;-73.2424444444444;-39.8127777777777
ALEMANIA;-30;650423;5591542;5.74;10.45;1;0;0;0;1;0;0;0;0;-73.2426111111112;-39.8128055555555
ALEMANIA;-50;650404;5591548;4;10.38;0;0;0;0;0;0;0;0;0;-73.2428333333334;-39.8127499999999
ALEMANIA;-70;650378;5591555;5.55;10.48;0;0;0;0;0;0;0;0;0;-73.2431388888889;-39.8126944444444
ALEMANIA;-90;650364;5591558;5.68;10.44;0;0;0;0;0;0;0;0;0;-73.2433055555555;-39.8126666666666
ALEMANIA;-110;650343;5591562;5.66;10.56;0;0;0;0;0;0;0;0;0;-73.2435555555556;-39.8126388888888
ALEMANIA;-130;650324;5591565;7.77;10.42;2;0;2;0;0;0;0;0;0;-73.2437777777778;-39.8126111111111
ALEMANIA;-150;650307;5591572;7.17;10.48;2;1;0;0;1;0;0;0;0;-73.2439722222223;-39.8125555555555
ALEMANIA;-170;650283;5591566;7.72;9.29;2;0;2;0;0;0;0;0;0;-73.2442500000000;-39.8126111111111
ALEMANIA;-190;650264;5591570;6.73;10.47;1;0;1;0;0;0;0;0;0;-73.2444722222223;-39.8125833333333
ALEMANIA;-210;650248;5591582;5.15;10.46;0;0;0;0;0;0;0;0;0;-73.2446666666667;-39.8124722222222
ALEMANIA;-230;650229;5591589;7.41;10.44;3;1;1;0;0;0;1;0;0;-73.2448888888889;-39.8124166666666
ALEMANIA;-250;650210;5591595;5.36;10.45;1;0;0;1;0;0;0;0;0;-73.2451111111111;-39.8123611111111
ALEMANIA;-270;650186;5591584;4.1;10.39;3;0;0;1;0;2;0;0;0;-73.2453888888889;-39.8124722222222
ALEMANIA;-290;650168;5591599;4.98;10.36;2;0;0;1;0;1;0;0;0;-73.2456111111112;-39.8123333333333
ISMAEL VALDES;0;650413;5591360;3.44;7.07;0;0;0;0;0;0;0;0;0;-73.2426944444444;-39.8144444444444
ISMAEL VALDES;-10;650418;5591379;4.15;7.03;0;0;0;0;0;0;0;0;0;-73.2426388888889;-39.8142777777777
ISMAEL VALDES;-30;650421;5591400;3.46;7.02;0;0;0;0;0;0;0;0;0;-73.2426111111112;-39.8140833333333
ISMAEL VALDES;-50;650423;5591425;2.34;4.68;1;0;1;0;0;0;0;0;0;-73.2425833333333;-39.8138611111111
ISMAEL VALDES;-70;650431;5591443;4.92;7.02;3;1;1;0;0;1;0;0;0;-73.2425000000000;-39.8136944444444
ISMAEL VALDES;-90;650434;5591461;4.03;4.66;0;0;0;0;0;0;0;0;0;-73.2424722222222;-39.8135277777777
ISMAEL VALDES;-120;650444;5591483;3.76;7.54;1;0;1;0;0;0;0;0;0;-73.2423611111111;-39.8133333333333
ISMAEL VALDES;-140;650456;5591501;2.31;4.67;0;0;0;0;0;0;0;0;0;-73.2422222222222;-39.8131666666666
